journal_id;level;keyword;;;;
;1.3.5.6.1.19;Montauban Musee Ingres;;;;
;1.3.5.6.1.20;Paris Musee ;;;;
;1.3.5.6.1.20.1;1929 Exposition des Peintres Graveurs allemands contemporains;;;; 
;1.3.5.6.1.21        Paris : Musée des ans dtcoratifs;;;;;
;1.3.5.6.1.22        Paris : Musée dc Cluny;;;;;
;1.3.5.6.1.23        Paris Gobelins;;;;;
;1.3.5.6.1.24        Paris Musée Guimet;;;;;
;1.3.5.6.1.25        Paris : Musée du lcu dc Pune;;;;;
;1.3.5.6.1.25.1          1909. Cent portraits de Femme des ecoles anglaise et franeaisc du XVIIIe sitck;;;;;
;1.3.5.6.1.25.2          1924- Exposition darr suissc;;;;;
;1.3.5.6.1.25.3          1927- Tresors de Maximilicn ler;;;;;
;1.3.5.6.1.25.4          1927. exposition Max Liebermann (projet);;;;;
;1.3.5.6.1.26        Paris : Musee du Luxembourg;;;;;
;1.3.5.6.1.27        Paris : Musée du Louvre;;;;;
;1.3.5.6.1.28     Paris : Musée de I'Opera;;;;;
;1.3.5.6.1.29     Paris : Musée de ('Orangerie ;;;;;
;1.3.5.6.1.30        Paris - Musée du Petit Palais;;;;;
;1.3.5.6.1.30.1      1910. Derer-Rembrandt;;;;;
;1.3.5.6.1.30.2      Exposition d'oeuvres d'art muliltes par les Allcmands- 1917 ;;;;;
;1.3.5.6.131         Paris : Musée de Sevres;;;;;
;1.3.5.6.1.32        Paris : Musée du Trocadtro;;;;;
;1.3.5.6.1.33        Paris : Musée Carnavalct;;;;;
;1.3.5.6.1.34     Monne : Musée;;;;;
;1.3.5.6.1.35        Saint-Germain-en-laye Musée;;;;;
;1.3.5.6.1.36        Saint-Quentin : Musée Lecuyer;;;;;
;1.3.5.6.1.37        Strasbourg : Musée Alsacien;;;;;
;1.3.5.6.1.38        Reims : Museum;;;;;
;1.3.5.6.1.39        Rasen Musée des Bcaux-Are;;;;;
;1.3.5.6.1.40        Rucil-Malmaison . Musée du chätcau;;;;;
;1.3.5.6.1.41        Troyes Musée;;;;;
;1.3.5.6.1.42        Valenciennes : Musée;;;;;
;1.3.5.6.1.43        Valenciennes : Miete Carpeaux;;;;;
;1.3.5.6.1.44        Versailles : Galeries du Chäteau;;;;;
;1.3.5.6.2 ;       Deutsche Museen;;;;
;1.3.5.6.2.1     Aachen Sucrniondt Museum;;;;;
;1.3.5.6.2.2     Altona : Musée d'histoirc naturelle et de foIllore;;;;;
;1.3.5.6.2.3     Augsburg : Museum;;;;;
;1.3.5.6.2.4     Baden-Baden : Galerie Grand-ducale;;;;;
;1.3.5.6.2.5     Bonn Musée provincial;;;;;
;1.3.5.6.2.6     Berlin: Akademie der Kunste;;;;;
;1.3.5.6.2.6.1    1910. Ausstellung französischer Kunst des 18.1h.;;;;;
;1.3.5.6.2.7     Berlin : Museumsinsel;;;;;
;1.3.5.6.2.8     Berlin : Altes Museum;;;;;
;1.3.5.6.2.9     Berlin : Kaiser-Enedrich-Museum (Sode Museum);;;;;
;1.3.5.6.2.9.1    Exposition crocuvres «an ancien- 1906;;;;;
;1.3.5.6.2.10    Berlin : Kunstgewerbemuseum;;;;;
;1.3.5.6.2.10.1   1894. Joseph Sattler Ausstellung;;;;;
;1.3.5.6.2.11    Berlin . Musée ethnographique;;;;;
;1.3.5.6.2.12    Berlin Museum fur Volkskunde;;;;;
;1.3.5.6.2.13    Berlin : Nationalgalerie;;;;;
;1.3.5.6.2.13.1      Exposition centennale allemandc. 1906;;;;;
;1.3.5.6.2.14    Berlin Pergamon Museum;;;;;
;1.3.5.6.2.15    Berlin : Muse Beuth-Schinkel;;;;;
;1.3.5.6.2.16    Braunschweig : Herzog Anton Ulrich-Museum;;;;;
;1.3.5.6.2.17 ;Braunschweig : Museum;;;;
;1.15.6.2.18 ;Bremen : Kunsthalle;;;;
;1.3.5.6.2.19 ;Bremen : Musée ethnographique;;;;
;1.3.5.6.2.20 ;Darmstadt : Landesmuseum;;;;
;1.3.5.6.2.21    Donaueschingen . Galerie du prince de Furstenberg;;;;;
;1.3.5.6.2.22 ;Dresden : Museum;;;;
;1.3.5.6.2.23 ;Dresden : Musée ethnographique;;;;
;1.3.5.6.2.24 ;Dresden : Königliche Bibliothek;;;;
;1.3.5.6.2.25    Dresden Galerie dc moulagc;;;;;
;1.3.5.6.2.26 ;Dresden Galerie royale;;;;
;1.3.5.6.2.27 ;Elberfeld : Museum;;;;
;1.3.5.6 2.28 ;Frankfurt : Goethe-Haus;;;;
;1.3.5.6.2.29 ;Frankfurt : Kunstgewerbemuseum;;;;
;1.3.5.6.2.30 ;Frankfurt: Stadelsches Kunstinstitut;;;;
;1.3.5.6.2.30.1 ;    1910. französische Kunst des 18. Jh. (pastels et dessins);;;;
;1.3.5.6.2.31 ;Hagen : Karl Ernst Osthaus-Museum;;;;
;1.3.5.6.2.32 ;Hagen : Museum;;;;
;1.3.5.6.2.33 ;Hagen : Kunstgewerbemuseum;;;;
;1.3.5.6.2.34 ;Hagen : Folkwang Museum;;;;
;1.3.5.6.2.35 ;Hamburg. Museum;;;;
;1.3.5.6.2.35.1 ;    1927. Europäische Kunst der Gegenwart;;;;
;1.3.5.6.2.36 ;Hambourg : Musée ethnographique;;;;
;1.3.5.6.2.37 ;Hamburg : Museum für Kunst und Gewerbe;;;;
;1.3.5.6.2.38 ;Hamburg : Hamburger Kunsthalle;;;;
;1.3.5.6.2.39 ;Kassel : Museum;;;;
;1.3.5.6.2.40 ;Kassel : Musée national hessois;;;;
;1.3.5.6.2.41 ;Karlsruhe : Museum;;;;
;13.5.6.2.42 ;Köln Wallraff-klebuni Museum;;;;
;1.3.5.6.2.43 ;Köln : Museum;;;;
;1.3.5.6.2.44 ;Köln Musée archiepiscopal;;;;
;1.3.5.6.2.45 ;Köln : Rautenstrauch kiest Museum Ihr Völkerkunde;;;;
;1.3.5.6.2.46 ;Krefeld Kunstgewerbemuseum;;;;
;1.3.5.6.2.47 ;Krefeld : Kaiser-Wilhelm Museum;;;;
;1.3.5.6.2.47.1  ;Exposition d'art franeals- 1907;;;;
;1.3.5.6.2.48 ;Leipzig : Museum für dekorative Kunst;;;;
;1.3.5.6.2.48.1 ;1927- dekorative Kunst Ausstellung;;;;
;1.3.5.6.2.49 ;Leipzig : Musée du livre;;;;
;1.3.5.6.2.49.1  ;Exposition «an graphique du Deutscher Künstlerbund- 1907 ;;;;
;1.3.5.6.2.50 ;Leipzig Museum;;;;
;1.3.5.6.2.51 ;Leipzig : Grassi Museum (musée ethnographique);;;;
;1.3.5.6.2.52 ;Mannheim : Museum;;;;
;1.3.5.6.2.53 ;Mannheim Städtische Kunsthalle;;;;
;1.3.5.6.2.53.1  1928- Max Bockmann Ausstellung;;;;;
;1.3.5.6.2.54 ;München Alte Pinakothek;;;;
;1.3.5.6.2.55 ;München : Bayerisches Gewerbemuseum;;;;
;1.3.5.6.2.55.1 ;Exposition d'art annlupe. 1)06;;;;
;1.3.5.6.2.56 ;München : Bayerisches Nationalmuseum;;;;
;1.3.5.6.2.57 ;München : Mus& ethnographique (Bayerisches ?);;;;
;1.3.5.6.2.58 ;München : Kupferstich Kabinett;;;;
;1.3.5.6.2.59 ;München : Kunstverein Galerie;;;;
;1.3.5.6.2.60 ;München : Lenbach Haus;;;;
;1.3.5.6.2.61 ;München Neue Pinakothek;;;;
;1.3.5.6.2.62 ;München . Glyptothek;;;;
;1.3.5.6.2.63 ;München : Schackgalerie;;;;
;1.3.5.6.2.64 ;München Secession Galerie;;;;
;1.3.5.6.2.65 ;Nürnberg : Germanisches Nationalmuseum;;;;
;1.3.5.6.2.66 ;Nürnberg : Mustc ethnograplume;;;;
;1.3.5.6.2.67 ;Postdam Musee;;;;
;1.3.5.6.2.68 ;Stuttgart : Museum;;;;
;1.3.5.6.2.69 ;Stuttgart : Kitsch Museum;;;;
;1.3.5.6.2.70 ;Weimar Museum;;;;
;1.3.5.6.2.71 ;Wiesbaden : Museum;;;;
;1.3.5.6.2.71.1 ;Exposition Bartholome 1)07;;;;
;1.3.5.6.3 ;Britische Museen;;;;
;1.3.5.6.3.1 ;London : National-Gallery;;;;
;1.3.5.6.3.2 ;South Kensington Museum;;;;
;1.3.5.6.4 ;Holländisch< Museen;;;;
;1.3.5.6.4.1 ;Amsterdam : Sophia Augusta Sterling;;;;
;1.3.5.6.4.2 ;Amsterdam : Stedclijk Museum;;;;
;1.3.5.6.4.3 ;Amsterdam : Rijksmuscum;;;;
;1.3.5.61.4 ;Harlem : Museum;;;;
;1.3.5.6.4.5 ;La time Museum;;;;
;1.3.5.6.5 ;Italienische Museen;;;;
;1.3.5.6.5.1 ;Firenze : Musee national;;;;
;1.3.5.6.5.2 ;Firenze : Mus& des Offices;;;;
;1.3.5.6.5.3 ;Naples : Galerie Borghese;;;;
;1.3.5.6.5.4 ;Roma : Musee du Capitole;;;;
;1.15.6.5.5 ;Venedig : Galerie dc l'Academie Royale des Beaux-arts;;;;
;1.3.5.6.5.6 ;Venedig : Palais ducal;;;;
;1.3.5.6.5.7 ;Venedig : Palais des Doge&;;;;
;1.3.5.6.6 ;Osterreichische Museen;;;;
;1.3.5.6.6.1 ;Wien . Schloss Belveder;;;;
;1.3.5.6.6.2 ;Wien : Albenin Museum;;;;
;1.3.5.6.6.3 ;Wien : Mus& imperial;;;;
;1.3.5.6.6.4 ;Wien : Mus& d'art decoratif;;;;
;1.3.5.6.7 ;Rassische Museen;;;;
;1.3.5.6.7.1 ;Ermitagc;;;;
;1.3.5.6.8 ;Schweizer Museen;;;;
;1.3.5.6.8.1 ;Basel : Kunsthalle;;;;
;1.3.5.6.8.1.1 ;1897- Bricklin 'uhileum;;;;
;1.3.5.6.8.1.2 ;1897- Exposition Ilolbeir;;;;
;1.3.5-6.8.2 ;Basel : Holbein Museum;;;;
;1.3.5.6.8.3 ;Basel : Mus& d'art nopulaue;;;;
;1.33.6.8.4 ;Genf;;;;
;1.3.5.6.8.4.1 ;1927- exposition Kokoscika;;;;
;1.3.5.6.8.5 ;Zürich : Museum;;;;
;1.3.5-6.8.6 ;Zürich : Mus& Jan populaire ;;;;
;1.3.5.6.9 ;Belgique : Musees;;;;
;1.3.5.6.9.1 ;Anvers : Musc'e;;;;
;1.3.5.7 ;Privatsammlungen;;;;
;1.3.5.7.1 ;In Frankreich;;;;
;1.3.5.7.1.1 ;Paris : Coll. Mme Edouad Ande;;;;
;1.3.5.7.1.2; Paris : Coll. Noel Bardac;;;;
;1.3.5.7.1.3 ;Paris : Coll. Sigismond Ilardac;;;;
;1.3.5.7.1.4 ;Paris : Coll. Molsc de Camondi;;;;
;1.3.5.7.1.5 ;Paris : Coll. Comtesse Jean dc Castellane;;;;
;1.3.5.7.1.6 ;Paris : Coll. Marquis dc Chapmay;;;;
;1.3.5.7.1.7 ;Paris : Coll. Jean Charcot;;;;
;1.3.5.7.1.8 ;Paris : Coll. Comtesse Cosse-lrissac;;;;
;1.3.5.7.1.9 ;Paris : Coll. Faure;;;;
;1.3.5.7.1.10 ;Paris : Coll. Maurice Fettaille;;;;
;1.3.5.7.1.11 ;Paris : Coll. Gaston Menier;;;;
;1.3.5.7.1.12 ;Paris. Coll. Mitthell;;;;
;1.3.5.7.1.13; Paris : Coll. Molinier;;;;
;1.3.5.7.1.14 ;Paris : Colt. Morhange;;;;
;1.3.5.7.1.15 ;Paris- Coll. Dollfus;;;;
;1.3.5.7.1.16 ;Paris- Coll. Duc d'Aumale;;;;
;1.3.5.7.1.17 ;Paris : Colt Groult;;;;
;1.3.5.7.1.18 ;Pans : Coll. Comic Lariboisiere;;;;
;1.3.5.7.1.19 ;Paris : Coll. Albert lehmann;;;;
;1.3.5.7.1.20 ;Paris : Coll. Lichtentern;;;;
;1.3.5.7.1.21 ;Paris : Sammlung Patin;;;;
;1.3.5.7.1.22 ;Paris : Coll. J. Peytel;;;;
;1.3.5.7.1.23 ;Paris : Coll.;;;;
;1.3.5.7.1.24 ;Paris : Colt. Mmc Jules Portes;;;;
;1.3.5.7.1.25 ;Paris : Coll. A Reyre;;;;
;1.3.5.7.1.26 ;Paris : Cell- Edmond dc Rothschild;;;;
;1.3.5.7.1.27 ;Paris : Sammlung Henri de Rothschild;;;;
;1.33.7.1.28 ;Paris : Coll. Maurice dc Rothschild;;;;
;1.3.5.7.1.29 ;Paris : Coll. baron de Schlichting;;;;
;1.3.5.7.1.30 ;Paris- Coll. Charles Sedelme)cr;;;;
;1.3.5.7.1.31 ;Paris : Coll. Mme Louis Stern;;;;
;1.3.5.7.1.32 ;Paris : Coll. Thome-Thitry;;;;
;1.3.5.7.1.33 ;Paris : coll. Turner;;;;
;1.3.5.7.1.34 ;Paris : Coll. Veil-Picard;;;;
;1.3.5.7.1.35 ;Paris Coll. Wildenstein;;;;
;1.3.5.7.1.36 ;Paris- Galene Simon;;;;
;1.3.5.7.1.37 ;Paris. Stauestst W Uhde et H. Kahnseiler- 1921;;;;
;1.3.5.7.1.38 ;Coll. duc de Madrid;;;;
;1.3.5.7.2 ;In Deutschland;;;;
;1.3.5.7.2.1 ;Aachen- Sammlung Ludwig Suermondt;;;;
;1.3.5.7.2.2 ;Berlin. Sammlung Arnhold;;;;
;1.3.5.7.2.3 ;Berlin- Sammlung Bernstein;;;;
;1.3.5.7.2.4 ;Berlin- Sammlung Friedrich der Grosse;;;;
;1.3.5.7.2.5 ;Berlin Sammlung Janas Simon;;;;
;1.3.5.7.2.6 ;Berlin. Sammlung Max Liebermann;;;;
;1.3.5.7.2.7 ;Berlin : Sammlung Seeger;;;;
;1.3.5.7.2.8 ;Berlin. Sammlung Suermondt;;;;
;1.3.5.7.2.9 ;Dresden- Sammlung Schmitz;;;;
;1.3.5.7.2.10 ;Dresden : Sammlung August der Starke;;;;
;1.3.5.7.2.11 ;Dusseldorf. Sammlung Alfred Flechtheim;;;;
;1.3.5.7.2.12 ;Hagen- Sammlung Karl Ernst Osthaus;;;;
;1.3.5.7.2-13 ;Hamburg. Sammlung E. Weber;;;;
;1.3.5.7.2.14 ;München Schackgalerie;;;;
;1.3.5.7.2.15 ;München Coll. George Hink;;;;
;1.3.5.7.2.16 ;München- Sammlung Knorr;;;;
;1.3.5.7.2.17 ;Potsdam Sammlung Friedrich II;;;;
;1.3.5.7.2.18 ;Sammlung grand duc de Bade;;;;
;1.3.5.7.2.19 ;Coll. Grand duc dc Hesse;;;;
;1.3.5.7.2.20 ;Coll. Princesse Fredenc-Charles de Hesse;;;;
;1.3.5.7.2.21 ;Sammlung von Carstanjen;;;;
;1.3.5.7.2.22 ;Coll Kraemer;;;;
;1.3.5.7.2.23 ;Sammlung Comic Pourtales;;;;
;1.3.5.7.2.24 ;Sammlung Dr Paul Amdt;;;;
;1.3.5.7.2.25 ;Sanunlung Fritz von Uhde;;;;
;1.3.5.7.2.26 ;Sammlung Leo Stein;;;;
;1.3.5.7.2.27 ;Sammlung Spitzer;;;;
;1.3.5.7.2.28 ;Sammlung Thiem;;;;
;1.3.5.7.2.29 ;Sammlung Wesondonck;;;;
;1.3.5.7.3 ;In der Schweiz;;;;
;13.5.7.3.1 ;Winterthur- Sammlung Oskar Reinhan;;;;
;1.3.5.7.4 ;In Holland;;;;
;1.3.5.7.4.1 ;Amsterdam : Sammlung van der Fehen;;;;
9728;1.3.6 ;Deutschsprachige Zeitschrifteraeitungen;;;;
;1.3.6.1 ;Christliche Kunst;;;;
;1.3.6.2 ;Christliches Kunstblatt;;;;
;1.3.6.3 ;Cicerone;;;;
;1.3.6.4 ;Dekorative Kunst;;;;
;1.3.6.5 ;Deutsche Kunst und Dekoration;;;;
;1.3.6.6 ;Deutsche Zeitschrill;;;;
;13.6.7 ;Fliegende Blatter;;;;
;1.3.6.8 ;Flornal (revue luxembourgeoise) 1.3.6.9 Frankfurter Allgemeine Zeitung 1.3.6.10 ;;;;
;1.3.6.11 ;Hohewart;;;;
;1.3.6.12 ;Innendekoration;;;;
;1.3.6.13 ;die Insel;;;;
;1.3.6.14 ;Jahrbuch (Berlin);;;;
;13.6.15 ;Jugend;;;;
;1.3.6.16 ;Kind und Kunst (1904-) 1.3.6.17 Kritik;;;;
;1.3.6.18 ;Die Kultur;;;;
;13.6.19 ;Die Kunst;;;;
;13.6.20 ;Das Kunstblau;;;;
;1.3.6.21 ;Der Kunstfreund;;;;
;1.3.6.22 ;Die Kunst für alle;;;;
;1.3.6.23 ;Die Kunsthalle;;;;
;1.3.6.24 ;Kladderadatsch;;;;
;1.3.6.25 ;Kunst und Künstler;;;;
;1.3.6.26 ;Kunst und Kunsthandwerk;;;;
;1.3.6.27 ;Kunstwart;;;;
;1.3.6.28 ;Lustige Blatter (Berlin);;;;
;13.6.29 ;Moderne Kunstwerke;;;;
;13.6.30 ;Monatshefte für Kunstwissenschaft;;;;
;1.3.6.31 ;Monatsschrift für Ncuc Literatur und Kunst;;;;
;1.3.6.32 ;Morgen;;;;
;1.3.6.33 ;Muscumskunde;;;;
;1.3.6.34 ;Neue deutsche Rundschau;;;;
;1.3.6.35 ;Nouvelle Gazette dc Zürich;;;;
;1.3.6.36 ;Pan;;;;
;1.3.6.37 ;Punch;;;;
;13.6.38 ;Querschnitt;;;;
;1.3.6.39 ;Simplicissimus (1895 - );;;;
;1.3.6.40 ;Der Sturm;;;;
;1.3.6.41 ;Überall;;;;
;1.3.6.42 ;Ulk (Berlin);;;;
;1.3.6.43 ;Ver Sauum;;;;
;1.3.6.44 ;Die Weissen Blauer;;;;
;1.3.6.45 ;Zeitschrift für bildende Kunst;;;;
;1.3.6.46 ;Zeitschrift für christlischc Kunst;;;;
;1.3.6.47 ;Zukunft;;;;
;1.3.7 ;Journaux/Revues suisses;;;;
;1.3.7.1 ;L'Art suisse;;;;
9379;1.4 ;Bewertungen. Einschatzungen der Kritik;;;;
9672;1.4.1 ;Definition der deutsch-französischen Beziehungen;;;;
;1.4.1.1 ;Internationaler Wettbewerb;;;;
;1.4.1.2 ;Vergleich Deutschland und Frankreich;;;;
;1.4.1.3 ;Überlegenheit Frankreichs;;;;
;1.4.1.4 ;Überlegenheit Deutschlands;;;;
;1.4.1.5 ;Vorbild Frankreich;;;;
;1.4.1.6 ;Vorbild Deutschland;;;;
;1.4.1.7 ;Deutsche-französische Zusammenarbeit;;;;
;1.4.1.8 ;Selbständigkeit Deutchlands;;;;
;1.4.1.9 ;Entwicklung Deutschland. deutscher Kunst;;;;
;1.4.1.10 ;Mangel an Kenntnis deutscher Kunst;;;;
;1.4.1.11 ;Mangel an Kenntnis französischer Kunst;;;;
;1.4.2 ;Künstlerische und geschichtliche Auffassung;;;;
;1.4.2.1 ;Museologie. Museographie;;;;
;1.4.2.2 ;Attributions;;;;
;1.4.2.3 ;Kunstgeschichte/Kunstkritik als Fach;;;;
;1.4.2.4 ;Tainische Theorie;;;;
;1.4.2.5 ;Germanisch vs Romanisch;;;;
;1.4.2.6 ;Stilkritik- ethaique;;;;
;1.4.2.7 ;Ursprung der gothischen Kunst;;;;
;1.4.2.8 ;Geschmack;;;;
;1.4.2.9 ;Kultur- Civilisation;;;;
;1.4.2.10 ;Modernität;;;;
;1.4.2.11 ;Les deux Allemagnes;;;;
;1.4.2.12 ;München als Kunsthauptstadt;;;;
;1.4.2.13 ;Kunst ohne Grenzen;;;;
9380;1.4.3 ;Ästhetische- moralische- technische Bewertungen;;;;
11388;1.4.4 ;Nationale Charakterisierung;;;;
