ID,Author,Category,Date,Technique,Dimensions
ILLU_10366_48_0,Gustave Courbet,painting,"
between 1842 and 1844 date QS:P571,+1842-00-00T00:00:00Z/8,P1319,+1842-00-00T00:00:00Z/9,P1326,+1844-00-00T00:00:00Z/9",oil on canvas,"
height: 69 cm (27.1 in) ; width: 77 cm (30.3 in) ; depth: 7.5 cm (2.9 in) dimensions QS:P2048,+69U174728
dimensions QS:P2049,+77U174728
dimensions QS:P4511,+7.5U174728
"
ILLU_10397_164_1,Paul Gauguin,painting,"
1899date QS:P571,+1899-00-00T00:00:00Z/9
",oil on canvas,"
height: 73 cm (28.7 in); width: 94 cm (37 in)dimensions QS:P2048,73U174728
dimensions QS:P2049,94U174728"
ILLU_10448_189_0,Jean-François Millet,painting,"
1898date QS:P571,+1898-00-00T00:00:00Z/9
",oil,"
height: 73 cm (28.7 in) ; width: 92.7 cm (36.4 in) dimensions QS:P2048,+73U174728
dimensions QS:P2049,+92.7U174728
"
ILLU_10453_93_0,National Gallery of Art,,,"
woodcut",
ILLU_10457_216_0,Pierre Bonnard,,"
before 1947 date QS:P571,+1947-00-00T00:00:00Z/7,P1326,+1947-00-00T00:00:00Z/9",,
ILLU_10462_34_0,Wilhelm Leibl,painting,"
1870date QS:P571,+1870-00-00T00:00:00Z/9
",oil on canvas,"
height: 55 cm (21.6 in); width: 48 cm (18.8 in)dimensions QS:P2048,55U174728
dimensions QS:P2049,48U174728"
ILLU_10467_502_0,Jean-Baptiste-Siméon Chardin,painting,"
1760date QS:P571,+1760-00-00T00:00:00Z/9
",oil on canvas,"
height: 72 cm (28.3 in); width: 58 cm (22.8 in)dimensions QS:P2048,72U174728
dimensions QS:P2049,58U174728"
ILLU_10467_502_0,Jean-Baptiste-Siméon Chardin,painting,"
1728date QS:P571,+1728-00-00T00:00:00Z/9
",oil,"
height: 92 cm (36.2 in) ; width: 74 cm (29.1 in) dimensions QS:P2048,+92.00U174728
dimensions QS:P2049,+74.00U174728
"
ILLU_10552_16_0,Friedrich August von Kaulbach,painting,"
1900date QS:P571,+1900-00-00T00:00:00Z/9
",oil on canvas,"
height: 118.5 cm (46.6 in); width: 95 cm (37.4 in)dimensions QS:P2048,118.5U174728
dimensions QS:P2049,95U174728"
ILLU_10552_19_0,Friedrich August von Kaulbach,painting,"
November 1903date QS:P571,+1903-11-00T00:00:00Z/10
",oil on canvas,
ILLU_10652_99_0,Edgar Degas,painting,"
um 1869",oil on canvas,"
height: 92.5 cm (36.4 in); width: 73.5 cm (28.9 in)dimensions QS:P2048,92.5U174728
dimensions QS:P2049,73.5U174728"
ILLU_10652_139_0,,,"
2 January 2022",,
ILLU_10652_147_0,Edgar Degas,,,,
ILLU_10670_199_0,Max Liebermann,painting,"
1882 ",oil on canvas,"
height: 109 cm (42.9 in) ; width: 173 cm (68.1 in) dimensions QS:P2048,+109U174728
dimensions QS:P2049,+173U174728
"
ILLU_10720_475_0,Camille Pissarro,painting,"
1872date QS:P571,+1872-00-00T00:00:00Z/9
",oil on canvas,"
height: 54 cm (21.2 in); width: 73 cm (28.7 in)dimensions QS:P2048,54U174728
dimensions QS:P2049,73U174728"
ILLU_10725_388_0,Édouard Manet,painting,"
1880date QS:P571,+1880-00-00T00:00:00Z/9
",oil on canvas,"
height: 54 cm (21.2 in); width: 34 cm (13.3 in)dimensions QS:P2048,54U174728
dimensions QS:P2049,34U174728"
ILLU_10934_350_0,Paul-Albert Besnard,painting,"
1883date QS:P571,+1883-00-00T00:00:00Z/9
",oil on canvas,"
height: 130.5 cm (51.3 in); width: 97.7 cm (38.4 in)dimensions QS:P2048,130.5U174728
dimensions QS:P2049,97.7U174728"
ILLU_10949_71_0,Jean Auguste Dominique Ingres,painting,"
19th century date QS:P571,+1850-00-00T00:00:00Z/7",,
ILLU_10967_83_0,National Gallery of Art,,"
1886date QS:P571,+1886-00-00T00:00:00Z/9
",lithograph,
ILLU_10972_269_0,Édouard Manet,painting,"
1878date QS:P571,+1878-00-00T00:00:00Z/9
",oil on canvas,"
height: 65 cm (25.5 in); width: 81 cm (31.8 in)dimensions QS:P2048,65U174728
dimensions QS:P2049,81U174728"
ILLU_11256_238_0,Mihály Munkácsy,painting,"
1882date QS:P571,+1882-00-00T00:00:00Z/9
",oil,"
height: 121 cm (47.6 in); width: 170.5 cm (67.1 in)dimensions QS:P2048,121U174728
dimensions QS:P2049,170.5U174728"
ILLU_11256_238_0,Mihály Munkácsy,painting,"
circa 1876 date QS:P571,+1876-00-00T00:00:00Z/9,P1480,Q5727902",oil on canvas,"
height: 65 cm (25.5 in); width: 56 cm (22 in)dimensions QS:P2048,65U174728
dimensions QS:P2049,56U174728"
ILLU_11317_598_0,,,"
1804",,
ILLU_11338_550_1,Lovis Corinth,painting,"
1921date QS:P571,+1921-00-00T00:00:00Z/9
",oil on canvas,"
95 × 12 cm (37.4 × 4.7 in)"
ILLU_11340_640_2,Vincent van Gogh,painting,"
Auvers-sur-Oise, July 1890",oil on canvas,"
height: 73 cm (28.7 in); width: 92 cm (36.2 in)dimensions QS:P2048,73U174728
dimensions QS:P2049,92U174728"
ILLU_11375_523_3,Vincent van Gogh,painting,"
Saint-Rémy, November 1889",oil on canvas,"
height: 73.6 cm (29 in); width: 92.7 cm (36.5 in)dimensions QS:P2048,73.66U174728
dimensions QS:P2049,92.71U174728"
ILLU_11379_92_0,Édouard Manet,painting,"
circa 1876 ",oil on canvas,"
height: 192 cm (75.5 in) ; width: 125 cm (49.2 in) dimensions QS:P2048,+192U174728
dimensions QS:P2049,+125U174728
"
ILLU_11397_544_0,Georges Kars,painting,"
1912date QS:P571,+1912-00-00T00:00:00Z/9
",oil on canvas,"
height: 130 cm (51.1 in) ; width: 189 cm (74.4 in) dimensions QS:P2048,+130U174728
dimensions QS:P2049,+189U174728
"
ILLU_11402_784_2,Jean Auguste Dominique Ingres,painting,"
circa 1814 date QS:P571,+1814-00-00T00:00:00Z/9,P1480,Q5727902.",oil on canvas,"
height: 138 cm (54.3 in); width: 142 cm (55.9 in)dimensions QS:P2048,138U174728
dimensions QS:P2049,142U174728"
ILLU_11440_602_0,Jean-Baptiste Camille Corot,,,,"
height: 60 cm (23.6 in); width: 45 cm (17.7 in)dimensions QS:P2048,60U174728
dimensions QS:P2049,45U174728"
ILLU_11440_603_0,Jean-Baptiste Camille Corot,painting,"
1855–63",,
ILLU_11459_323_0,Pierre-Auguste Renoir,painting,"
1864date QS:P571,+1864-00-00T00:00:00Z/9
",oil on canvas,"
height: 130 cm (51.1 in) ; width: 96 cm (37.7 in) dimensions QS:P2048,+130U174728
dimensions QS:P2049,+96U174728
"
ILLU_11547_68_0,Heinrich Zille,,"
1922",,
ILLU_11550_264_0,,,"
12th century date QS:P,+1150-00-00T00:00:00Z/7",,
ILLU_11569_294_0,Édouard Manet,painting,"
circa 1875 date QS:P571,+1875-00-00T00:00:00Z/9,P1480,Q5727902",oil on canvas,"
26 × 28 cm (10.2 × 11 in)"
ILLU_11584_216_0,Édouard Manet,,"
1863",,
ILLU_11996_1613_0,Jacob Ochtervelt,painting,"
second half of 17th century date QS:P571,+1650-00-00T00:00:00Z/7",oil on canvas,"
height: 73 cm (28.7 in); width: 59 cm (23.2 in)dimensions QS:P2048,73U174728
dimensions QS:P2049,59U174728"
ILLU_12036_122_0,Jean Auguste Dominique Ingres,painting,"
1815date QS:P571,+1815-00-00T00:00:00Z/9
",oil,"
height: 47 cm (18.5 in) ; width: 33 cm (12.9 in) dimensions QS:P2048,+47U174728
dimensions QS:P2049,+33U174728
"
ILLU_12036_122_0,Jean Auguste Dominique Ingres,painting,"
1815date QS:P571,+1815-00-00T00:00:00Z/9
",oil,"
height: 47 cm (18.5 in) ; width: 33 cm (12.9 in) dimensions QS:P2048,+47U174728
dimensions QS:P2049,+33U174728
"
ILLU_12206_4711_1,James McNeill Whistler,painting,"
1883date QS:P571,+1883-00-00T00:00:00Z/9
",oil on canvas,"
193.5 × 91 cm"
ILLU_12225_3504_0,Camille Pissarro,painting,"
1884 ",oil on canvas,"
height: 59 cm (23.2 in); width: 73 cm (28.7 in)dimensions QS:P2048,59U174728
dimensions QS:P2049,73U174728"
ILLU_12225_3504_0,Camille Pissarro,painting,"
1884 ",oil on canvas,"
height: 59 cm (23.2 in); width: 73 cm (28.7 in)dimensions QS:P2048,59U174728
dimensions QS:P2049,73U174728"
ILLU_12315_67_0,Auguste Rodin,,"
1909",,
ILLU_12315_68_0,Jan Štursa,,,,
ILLU_12410_321_0,Pierre-Auguste Renoir,painting,"
c. 1866",,"
height: 47 cm (18.5 in) ; width: 38.4 cm (15.1 in) dimensions QS:P2048,+47U174728
dimensions QS:P2049,+38.4U174728
"
ILLU_12437_363_0,,,"
1931",,
ILLU_12567_54_0,Alexander Kanoldt,painting,"
1926date QS:P571,+1926-00-00T00:00:00Z/9
",painting,"
height: 78.5 cm (30.9 in) dimensions QS:P2048,+78.5U174728
"
ILLU_12724_484912_1,Metropolitan Museum of Art,,"
circa 1470 date QS:P571,+1470-00-00T00:00:00Z/9,P1480,Q5727902–90","
Wool warp, wool wefts with a few silk wefts.","
Overall: 190 x 104in. (482.6 x 264.2cm)"
ILLU_12724_484912_1,Metropolitan Museum of Art,,"
circa 1470 date QS:P571,+1470-00-00T00:00:00Z/9,P1480,Q5727902–90","
Wool warp, wool wefts with a few silk wefts.","
Overall: 190 x 104in. (482.6 x 264.2cm)"
ILLU_12754_482_0,Liselotte Schramm-Heckmann,,"
28 March 2014, 09:02:57",,
ILLU_12754_482_0,Liselotte Schramm-Heckmann,,"
15 May 2014, 18:44:24",,
ILLU_12765_2102_0,Paul Cézanne,painting,"
between 1880 and 1881 date QS:P571,+1880-00-00T00:00:00Z/8,P1319,+1880-00-00T00:00:00Z/9,P1326,+1881-00-00T00:00:00Z/9","
35 x 21 cm","
height: 60 cm (23.6 in) ; width: 73 cm (28.7 in) dimensions QS:P2048,+60U174728
dimensions QS:P2049,+73U174728
"
ILLU_13060_346_2,Heinrich Vogeler,,"
1909",,
ILLU_13075_295_0,,,"
circa 1912 date QS:P,+1912-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_13075_296_0,Lovis Corinth,painting,"
1911date QS:P571,+1911-00-00T00:00:00Z/9
",oil on canvas,"
135 × 114.5 cm (53.1 × 45 in)"
ILLU_13077_369_0,Eugeniusz Zak,,"
27 April 2008",,
ILLU_13083_244_0,Leopold Graf von Kalckreuth,painting,"
1912date QS:P571,+1912-00-00T00:00:00Z/9
",oil on canvas,"
height: 99.5 cm (39.1 in); width: 85 cm (33.4 in)dimensions QS:P2048,99.5U174728
dimensions QS:P2049,85U174728"
ILLU_13084_319_0,Édouard Manet,painting,"
1865date QS:P571,+1865-00-00T00:00:00Z/9
",oil on canvas,"
height: 64 cm (25.1 in); width: 80 cm (31.4 in)dimensions QS:P2048,64U174728
dimensions QS:P2049,80U174728"
ILLU_13255_98_0,Henri-Jean Guillaume Martin,painting,"
1903date QS:P571,+1903-00-00T00:00:00Z/9
",oil on canvas,
ILLU_13259_554_0,Oskar Zwintscher,,"
1904 or before",,
ILLU_13263_146_0,Paul Poiret,,"
1913",,
ILLU_13284_210_0,Georges Kars,painting,"
1912date QS:P571,+1912-00-00T00:00:00Z/9
",oil on canvas,"
height: 130 cm (51.1 in) ; width: 189 cm (74.4 in) dimensions QS:P2048,+130U174728
dimensions QS:P2049,+189U174728
"
ILLU_13290_290_0,Adrian Ludwig Richter,painting,"
circa 1824 date QS:P571,+1824-00-00T00:00:00Z/9,P1480,Q5727902",oil on canvas,"
height: 121 cm (47.6 in); width: 94 cm (37 in)dimensions QS:P2048,121U174728
dimensions QS:P2049,94U174728"
ILLU_13290_294_0,Ferdinand Olivier,painting,"
between circa 1825 and circa 1830 date QS:P,+1850-00-00T00:00:00Z/7,P1319,+1825-00-00T00:00:00Z/9,P1326,+1830-00-00T00:00:00Z/9,P1480,Q5727902 ",,"
height: 25 cm (9.8 in) ; width: 18.9 cm (7.4 in) dimensions QS:P2048,+25.0U174728
dimensions QS:P2049,+18.9U174728
"
ILLU_13325_9_0,Edvard Munch,painting,"
1923 ",oil on canvas,"
height: 134 cm (52.7 in) ; width: 181 cm (71.2 in) dimensions QS:P2048,+134U174728
dimensions QS:P2049,+181U174728
"
ILLU_13393_228_0,Jules Pascin,,"
between circa 1928 and circa 1929 date QS:P,+1928-00-00T00:00:00Z/8,P1319,+1928-00-00T00:00:00Z/9,P1326,+1929-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_13393_233_0,Charles Despiau,,"
between circa 1928 and circa 1929 date QS:P,+1928-00-00T00:00:00Z/8,P1319,+1928-00-00T00:00:00Z/9,P1326,+1929-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_13393_246_0,,,"
between circa 1928 and circa 1929 date QS:P,+1928-00-00T00:00:00Z/8,P1319,+1928-00-00T00:00:00Z/9,P1326,+1929-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_13393_246_0,,,"
between circa 1928 and circa 1929 date QS:P,+1928-00-00T00:00:00Z/8,P1319,+1928-00-00T00:00:00Z/9,P1326,+1929-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_14256_202_2,Alexej von Jawlensky,painting,"
1913date QS:P571,+1913-00-00T00:00:00Z/9
",oil,"
height: 68.8 cm (27 in) ; width: 49.9 cm (19.6 in) dimensions QS:P2048,+68.8U174728
dimensions QS:P2049,+49.9U174728
"
ILLU_14256_204_0,,,"
1923date QS:P571,+1923-00-00T00:00:00Z/9
",,
ILLU_14268_18_1,,painting,"
1908date QS:P571,+1908-00-00T00:00:00Z/9
",,
ILLU_14280_173_0,Hans Burgkmair the Elder,painting,"
1510date QS:P571,+1510-00-00T00:00:00Z/9
",oil,
ILLU_14292_40_0,László Moholy-Nagy,,"
1924–28","
Gelatin silver print","
8.2 x 5.4 cm (3 1/4 x 2 1/8 in.)"
ILLU_14297_333_1,Wassily Kandinsky,,"
1928",,
ILLU_14322_137_1,Hans Burgkmair the Elder,painting,"
1510date QS:P571,+1510-00-00T00:00:00Z/9
",oil,
ILLU_14353_693_2,Anselm Feuerbach,painting,"
1858 ",,"
height: 155 cm (61 in) ; width: 238 cm (93.7 in) dimensions QS:P2048,+155.00U174728
dimensions QS:P2049,+238.00U174728
"
ILLU_14353_693_3,Anselm Feuerbach,painting,"
1858 ",,"
height: 155 cm (61 in) ; width: 238 cm (93.7 in) dimensions QS:P2048,+155.00U174728
dimensions QS:P2049,+238.00U174728
"
ILLU_14374_65_6,Honoré Daumier,painting,"
1865date QS:P571,+1865-00-00T00:00:00Z/9
",,
ILLU_14952_62_2,Georges Kars,painting,"
1920date QS:P571,+1920-00-00T00:00:00Z/9
",oil on canvas,"
height: 130 cm (51.1 in) ; width: 97 cm (38.1 in) dimensions QS:P2048,+130U174728
dimensions QS:P2049,+97U174728
"
ILLU_14982_436_0,Bernardo Cavallino,painting,"
1645date QS:P571,+1645-00-00T00:00:00Z/9
",oil on canvas,
ILLU_15024_23_0,,,"
1914",,
ILLU_15024_23_0,,,"
1914",,
ILLU_15213_538_0,Max Liebermann,,"
circa 1880 date QS:P,+1880-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_15312_21_0,Hans Holbein the Younger,painting,"
1519 ",mixed technique,"
height: 28.5 cm (11.2 in) ; width: 27.4 cm (10.7 in) dimensions QS:P2048,+28.5U174728
dimensions QS:P2049,+27.4U174728
"
ILLU_15316_482_0,,,"
0000","
Woodcut",
ILLU_15334_327_0,Hans von Marées,painting,"
from 1881 until 1883 date QS:P571,+1881-00-00T00:00:00Z/8,P580,+1881-00-00T00:00:00Z/9,P582,+1883-00-00T00:00:00Z/9",color,"
height: 189 cm (74.4 in); width: 143 cm (56.2 in)dimensions QS:P2048,189U174728
dimensions QS:P2049,143U174728"
ILLU_15639_142_0,Franz Stuck,,"
1895date QS:P571,+1895-00-00T00:00:00Z/9
",,
ILLU_15678_33_0,Lucas Cranach the Elder,painting,"
circa 1520 date QS:P571,+1520-00-00T00:00:00Z/9,P1480,Q5727902",oil,"
height: 58 cm (22.8 in); width: 46 cm (18.1 in)dimensions QS:P2048,58U174728
dimensions QS:P2049,46U174728"
ILLU_15680_69_0,Esther Denner (mother of Balthasar Denner),painting,"
before 1721 date QS:P,+1721-00-00T00:00:00Z/7,P1326,+1721-00-00T00:00:00Z/9 ",oil on canvas,"
height: 37.5 cm (14.7 in) ; width: 31 cm (12.2 in) dimensions QS:P2048,+37.5U174728
dimensions QS:P2049,+31U174728
"
ILLU_15689_82_0,Johann Wolfgang von Goethe,,"
22 June 1775date QS:P571,+1775-06-22T00:00:00Z/11
",graphite,
ILLU_15696_274_2,Hans Maler zu Schwaz,painting,"
circa 1500 ",,"
height: 140 cm (55.1 in) ; width: 44 cm (17.3 in) dimensions QS:P2048,+140.00U174728
dimensions QS:P2049,+44.00U174728
"
ILLU_15696_275_0,Michael Pacher,painting,"
circa 1480 ",,"
height: 212 cm (83.4 in) ; width: 100 cm (39.3 in) dimensions QS:P2048,+212U174728
dimensions QS:P2049,+100U174728
"
ILLU_15715_157_1,Franz von Lenbach,painting,"
1902date QS:P571,+1902-00-00T00:00:00Z/9
",,
ILLU_15795_137_0,,,"
12 March 2016",,
ILLU_15893_201_0,Leo Putz,painting,"
1904 ",oil on canvas,"
height: 187.5 cm (73.8 in) ; width: 195.5 cm (76.9 in) dimensions QS:P2048,+187.5U174728
dimensions QS:P2049,+195.5U174728
"
ILLU_16025_54_0,William Blake,painting,"
1824 / 1820s date QS:P,+1820-00-00T00:00:00Z/8 ",,"
height: 37 cm (14.5 in) ; width: 53 cm (20.8 in) dimensions QS:P2048,+37U174728
dimensions QS:P2049,+53U174728
"
ILLU_16297_127_1,Wassily Kandinsky,painting,"
1900s date QS:P,+1900-00-00T00:00:00Z/8 ",oil,"
height: 23.7 cm (9.3 in) ; width: 32.8 cm (12.9 in) dimensions QS:P2048,+23.7U174728
dimensions QS:P2049,+32.8U174728
"
